Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
36,20831,1022,1.0,0.9432933888888889,0.84,551.47
37,20992,161,1.0,0.9428551111111111,0.84,551.47
38,22192,1200,0.0,0.9395884444444444,0.84,551.47
39,22776,584,1.0,0.9379986666666666,0.84,551.47
40,22987,211,1.0,0.9374242777777778,0.84,551.47
41,23421,434,1.0,0.9362428333333334,0.84,551.47
42,24431,1010,1.0,0.9334933888888889,0.84,551.47
43,24899,468,1.0,0.9322193888888889,0.84,551.47
44,25125,226,1.0,0.9316041666666667,0.84,551.47
45,25906,781,1.0,0.9294781111111111,0.84,551.47
46,26908,1002,1.0,0.9267504444444444,0.84,551.47
47,28108,1200,0.0,0.9234837777777778,0.84,551.47
48,29171,1063,1.0,0.9205900555555555,0.84,551.47
49,29561,390,1.0,0.9195283888888889,0.84,551.47
50,30401,840,1.0,0.9172417222222222,0.84,551.47
51,31476,1075,1.0,0.9143153333333334,0.84,551.47
52,31977,501,1.0,0.9129515,0.84,551.47
53,32198,221,1.0,0.9123498888888889,0.84,551.47
54,32908,710,1.0,0.9104171111111111,0.84,551.47
55,33195,287,1.0,0.9096358333333333,0.84,551.47
56,33579,384,1.0,0.9085905,0.84,551.47
57,34779,1200,0.0,0.9053238333333333,0.84,551.47
58,35507,728,1.0,0.9033420555555556,0.84,551.47
59,36707,1200,0.0,0.9000753888888888,0.84,551.47
60,37907,1200,0.0,0.8968087222222222,0.84,551.47
61,38667,760,1.0,0.8947398333333334,0.84,551.47
62,38797,130,1.0,0.8943859444444444,0.84,551.47
63,39120,323,1.0,0.8935066666666667,0.84,551.47
64,39384,264,1.0,0.892788,0.84,551.47
65,39914,530,1.0,0.8913452222222222,0.84,551.47
66,40632,718,1.0,0.8893906666666667,0.84,551.47
67,41246,614,1.0,0.8877192222222222,0.84,551.47
68,41401,155,1.0,0.8872972777777778,0.84,551.47
69,41582,181,1.0,0.8868045555555556,0.84,551.47
70,41992,410,1.0,0.8856884444444444,0.84,551.47
71,42225,233,1.0,0.8850541666666667,0.84,551.47
72,42453,228,1.0,0.8844335,0.84,551.47
73,42667,214,1.0,0.8838509444444445,0.84,551.47
74,42834,167,1.0,0.8833963333333333,0.84,551.47
75,42891,57,1.0,0.8832411666666666,0.84,551.47
76,42972,81,1.0,0.8830206666666667,0.84,551.47
77,43062,90,1.0,0.8827756666666666,0.84,551.47
78,43254,192,1.0,0.882253,0.84,551.47
79,43695,441,1.0,0.8810525,0.84,551.47
80,44548,853,1.0,0.8787304444444445,0.84,551.47
81,44760,212,1.0,0.8781533333333333,0.84,551.47
82,45331,571,1.0,0.8765989444444444,0.84,551.47
83,45398,67,1.0,0.8764165555555555,0.84,551.47
84,45937,539,1.0,0.8749492777777778,0.84,551.47
85,46039,102,1.0,0.8746716111111111,0.84,551.47
86,46373,334,1.0,0.8737623888888889,0.84,551.47
87,47573,1200,0.0,0.8704957222222223,0.84,551.47
88,48773,1200,0.0,0.8672290555555555,0.84,551.47
89,49193,420,1.0,0.8660857222222222,0.84,551.47
90,49579,386,1.0,0.8650349444444445,0.84,551.47
91,49624,45,1.0,0.8649124444444445,0.84,551.47
92,50824,1200,0.0,0.8616457777777777,0.84,551.47
93,52024,1200,0.0,0.8583791111111111,0.84,551.47
94,52175,151,1.0,0.8579680555555556,0.84,551.47
95,52325,150,1.0,0.8575597222222222,0.84,551.47
96,52499,174,1.0,0.8570860555555555,0.84,551.47
97,53530,1031,1.0,0.8542794444444445,0.84,551.47
98,54730,1200,0.0,0.8510127777777777,0.84,551.47
99,54787,57,1.0,0.8508576111111111,0.84,551.47
100,55147,360,1.0,0.8498776111111112,0.84,551.47
101,55548,401,1.0,0.848786,0.84,551.47
102,56065,517,1.0,0.8473786111111111,0.84,551.97
103,56231,166,1.0,0.8469267222222222,0.85,545.14
104,56325,94,1.0,0.8466708333333334,0.86,534.8
105,57333,1008,1.0,0.8439268333333334,0.86,533.9
106,57452,119,1.0,0.8436028888888889,0.87,531.98
107,57560,108,1.0,0.8433088888888889,0.87,522.62
108,57622,62,1.0,0.8431401111111111,0.87,519.98
109,57739,117,1.0,0.8428216111111111,0.87,518.39
110,58125,386,1.0,0.8417708333333334,0.87,511.64
111,58747,622,1.0,0.8400776111111111,0.87,513.21
112,59947,1200,0.0,0.8368109444444445,0.87,515.81
113,60072,125,1.0,0.8364706666666667,0.86,526.17
