Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
471,83689,148,1,0.8177439555555556,0.96,106.42
481,84376,171,1,0.8162478222222223,0.96,106.42
491,84963,18,1,0.8149694666666667,0.96,106.42
501,85599,76,1,0.8135844,0.96,106.42
511,86243,19,1,0.8121819111111112,0.96,106.42
521,86780,34,1,0.8110124444444444,0.96,106.42
531,87593,26,1,0.8092419111111111,0.96,106.42
541,88063,19,1,0.8082183555555555,0.96,106.42
551,88629,32,1,0.8069857333333333,0.96,106.42
561,89123,36,1,0.8059099111111111,0.96,106.42
571,89578,17,1,0.8049190222222222,0.96,106.42
581,90176,45,1,0.8036167111111111,0.96,106.42
591,90545,42,1,0.8028131111111111,0.96,106.42
601,91070,26,1,0.8016697777777778,0.96,106.42
611,91529,34,1,0.8006701777777778,0.96,106.42
621,91893,40,1,0.7998774666666667,0.96,106.42
631,92286,57,1,0.7990216,0.96,106.42
641,92628,35,1,0.7982768,0.96,106.42
651,93153,34,1,0.7971334666666666,0.96,106.42
661,93548,61,1,0.7962732444444445,0.96,106.42
671,94008,16,1,0.7952714666666667,0.96,106.42
681,94569,10,1,0.7940497333333334,0.96,106.42
691,94963,15,1,0.7931916888888889,0.96,106.42
701,95564,90,1,0.7918828444444445,0.96,106.42
711,96023,33,1,0.7908832444444445,0.96,106.42
721,96630,28,1,0.7895613333333333,0.96,106.42
731,97048,16,1,0.7886510222222223,0.96,106.42
741,97474,103,1,0.7877232888888889,0.96,106.42
751,98043,51,1,0.7864841333333333,0.96,106.42
761,98409,16,1,0.7856870666666667,0.96,106.42
771,98892,47,1,0.7846352,0.96,106.42
781,99293,40,1,0.7837619111111112,0.96,106.42
791,99717,28,1,0.7828385333333333,0.96,106.42
801,100164,35,1,0.7818650666666667,0.96,106.42
811,100609,57,1,0.7808959555555556,0.96,106.42
821,101074,96,1,0.7798832888888889,0.96,106.42
831,101434,28,1,0.7790992888888889,0.96,106.42
841,101757,36,1,0.7783958666666666,0.96,106.42
851,102118,25,1,0.7776096888888888,0.96,106.42
861,102463,34,1,0.7768583555555555,0.96,106.42
871,102960,58,1,0.775776,0.96,106.42
881,103356,21,1,0.7749136,0.96,106.42
891,103788,148,1,0.7739728,0.96,106.42
901,104204,19,1,0.7730668444444444,0.96,106.42
911,104604,43,1,0.7721957333333334,0.96,106.42
921,105137,63,1,0.7710349777777777,0.96,106.42
931,105600,51,1,0.7700266666666666,0.96,106.42
941,105998,39,1,0.7691599111111111,0.96,106.42
951,106504,47,1,0.7680579555555556,0.96,106.42
961,106846,74,1,0.7673131555555556,0.96,106.42
971,107335,23,1,0.7662482222222222,0.96,106.42
981,107722,13,1,0.7654054222222222,0.96,106.42
991,108093,29,1,0.7645974666666666,0.96,106.42
1001,108503,42,1,0.7637045777777778,0.96,106.42
1011,108815,22,1,0.763025111111111,0.96,105.88
1021,109257,66,1,0.7620625333333333,0.96,103.3
1031,109578,37,1,0.7613634666666667,0.97,97.96
1041,109909,47,1,0.7606426222222222,0.97,96.54
1051,110252,28,1,0.7598956444444445,0.97,93.35
1061,110571,38,1,0.7592009333333334,0.98,87.63
1071,110892,12,1,0.7585018666666667,0.98,87.37
1081,111362,19,1,0.7574783111111111,0.98,86.89
1091,111713,36,1,0.7567139111111111,0.98,86.8
1101,112131,38,1,0.7558036,0.98,86.58
1111,112616,50,1,0.7547473777777778,0.99,80.96
1121,113045,63,1,0.7538131111111112,0.99,76.19
1131,113432,18,1,0.7529703111111111,0.99,71.78
1141,113874,45,1,0.7520077333333333,1.0,65.96
1151,114304,56,1,0.7510712888888889,1.0,64.85
1161,114656,20,1,0.7503047111111111,1.0,61.05
1171,115070,32,1,0.7494031111111111,1.0,59.34
1181,115450,49,1,0.7485755555555555,1.0,54.69
1191,115782,26,1,0.7478525333333333,1.0,54.27
1201,116195,59,1,0.7469531111111112,1.0,54.02
1211,116577,83,1,0.7461211999999999,1.0,53.93
